,0
ASV1454,5.0
ASV1453,5.0
ASV1452,5.0
ASV1451,5.0
ASV1450,5.0
ASV1449,5.0
ASV1448,5.0
ASV1447,5.0
ASV1446,5.0
ASV1445,5.0
ASV1444,5.0
ASV1443,5.0
ASV1442,5.0
ASV1441,5.0
ASV1440,5.0
ASV1439,5.0
ASV1438,5.0
ASV1437,5.0
ASV1404,5.0
ASV1420,5.0
ASV1402,5.0
ASV1356,5.0
ASV1369,5.0
ASV1368,5.0
ASV1367,5.0
ASV1366,5.0
ASV1365,5.0
ASV1364,5.0
ASV1363,5.0
ASV1362,5.0
ASV1361,5.0
ASV1360,5.0
ASV1359,5.0
ASV1358,5.0
ASV1357,5.0
ASV1355,5.0
ASV1371,5.0
ASV1354,5.0
ASV1353,5.0
ASV1352,5.0
ASV1350,5.0
ASV1349,5.0
ASV1348,5.0
ASV1347,5.0
ASV1346,5.0
ASV1345,5.0
ASV1344,5.0
ASV1343,5.0
ASV1342,5.0
ASV1401,5.0
ASV1370,5.0
ASV1351,5.0
ASV1372,5.0
ASV1387,5.0
ASV1400,5.0
ASV1373,5.0
ASV1399,5.0
ASV1398,5.0
ASV1397,5.0
ASV1396,5.0
ASV1394,5.0
ASV1393,5.0
ASV1392,5.0
ASV1391,5.0
ASV1390,5.0
ASV1389,5.0
ASV1388,5.0
ASV1395,5.0
ASV1386,5.0
ASV1379,5.0
ASV1375,5.0
ASV1374,5.0
ASV1385,5.0
ASV1376,5.0
ASV1378,5.0
ASV1377,5.0
ASV1380,5.0
ASV1381,5.0
ASV1382,5.0
ASV1383,5.0
ASV1384,5.0
ASV1575,4.0
ASV1582,4.0
ASV1576,4.0
ASV1577,4.0
ASV1578,4.0
ASV1579,4.0
ASV1574,4.0
ASV1580,4.0
ASV1581,4.0
ASV1587,4.0
ASV1583,4.0
ASV1584,4.0
ASV1585,4.0
ASV1586,4.0
ASV1588,4.0
ASV1589,4.0
ASV1590,4.0
ASV1572,4.0
ASV1591,4.0
ASV1573,4.0
ASV1558,4.0
ASV1571,4.0
ASV1560,4.0
ASV1593,4.0
ASV1552,4.0
ASV1553,4.0
ASV1554,4.0
ASV1555,4.0
ASV1556,4.0
