"name.x","day","height","mean","std","n","se","name.y","class"
"cloxacillin","01","middle",696081.006562613,66339.6804028066,4,33169.8402014033,"cillin","beta-lactam"
"cloxacillin","01","top",725994.672597252,100768.24928069,4,50384.124640345,"cillin","beta-lactam"
"cloxacillin","04","bottom",822351.919499504,133226.941470006,2,94205.6737501845,"cillin","beta-lactam"
"cloxacillin","08","bottom",612230.326685716,5937.86225987318,2,4198.702669708,"cillin","beta-lactam"
"cloxacillin","11","bottom",648435.046614859,111228.434227935,2,78650.3801033345,"cillin","beta-lactam"
"cloxacillin","15","bottom",723092.641938948,25665.8827727465,2,18148.519753748,"cillin","beta-lactam"
"cloxacillin","18","bottom",579669.470088322,95315.7619434512,2,67398.421624177,"cillin","beta-lactam"
"cloxacillin","22","bottom",171026.908066855,33465.7859230882,2,23663.884163953,"cillin","beta-lactam"
"cloxacillin","25","bottom",584411.078972604,5961.69918918561,2,4215.55792406749,"cillin","beta-lactam"
"cloxacillin","29","bottom",576430.163018037,71126.5511374357,4,35563.2755687179,"cillin","beta-lactam"
"cloxacillin","29","middle",417604.833002438,43456.4613210298,4,21728.2306605149,"cillin","beta-lactam"
"cloxacillin","29","top",539803.146823046,93396.4323493931,4,46698.2161746966,"cillin","beta-lactam"
"cordycepin","01","bottom",3157318.26623644,539466.947943339,4,269733.47397167,NA,"unknown"
"cordycepin","01","middle",2358002.90614476,1560161.3033367,6,636933.184935079,NA,"unknown"
"cordycepin","01","top",3338538.80336108,7647.70093837264,2,5407.74119401001,NA,"unknown"
"cordycepin","04","bottom",1774848.06728407,1302064.87989561,4,651032.439947806,NA,"unknown"
"cordycepin","08","bottom",2727293.21350637,245253.010383807,2,173420.066748805,NA,"unknown"
"cordycepin","15","bottom",3336347.43580654,687761.6067281,2,486320.895957195,NA,"unknown"
"cordycepin","18","bottom",340857.080953344,61968.7133234024,2,43818.497412383,NA,"unknown"
"cordycepin","29","middle",564166.09805472,47895.9083794384,2,33867.5216061905,NA,"unknown"
"cordycepin","29","top",404840.710317751,88852.0551685854,2,62827.890732068,NA,"unknown"
"cryptotanshinone","01","bottom",8041546.60957775,2286981.91244271,4,1143490.95622136,NA,"unknown"
"cryptotanshinone","01","middle",6644538.6687836,2602300.25674746,4,1301150.12837373,NA,"unknown"
"cryptotanshinone","01","top",10747670.4751903,2699832.58728327,4,1349916.29364164,NA,"unknown"
"cryptotanshinone","04","bottom",2481446.79971439,815340.84040766,2,576533.037230595,NA,"unknown"
"cryptotanshinone","08","bottom",11921060.9987116,1609947.54469639,2,1138404.82620945,NA,"unknown"
"cryptotanshinone","11","bottom",8922592.41510152,964626.479055772,2,682093.92465244,NA,"unknown"
"cryptotanshinone","15","bottom",7103144.28781115,1473467.85376733,2,1041899.11125927,NA,"unknown"
"cryptotanshinone","18","bottom",6409528.40631098,781370.785650565,2,552512.581154575,NA,"unknown"
"cryptotanshinone","22","bottom",5089695.41954824,1129931.82719537,2,798982.45728835,NA,"unknown"
"cryptotanshinone","25","bottom",6610594.8131742,4575.60302700101,2,3235.43992841011,NA,"unknown"
"cryptotanshinone","29","bottom",7676347.96855538,2624304.50991692,4,1312152.25495846,NA,"unknown"
"cryptotanshinone","29","middle",10664749.7128479,3141083.14125785,4,1570541.57062892,NA,"unknown"
"cryptotanshinone","29","top",5600420.41190265,4732881.53223395,4,2366440.76611697,NA,"unknown"
"cycloheximide","29","top",236178.58739062,30639.0133149068,2,21665.0540838355,NA,"unknown"
"dacarbazine","01","bottom",13621908.0484255,1588461.38859757,4,794230.694298784,NA,"unknown"
"dacarbazine","01","middle",11985027.1730863,3188148.66911599,4,1594074.33455799,NA,"unknown"
"dacarbazine","01","top",11295403.8786196,1083940.47579222,4,541970.237896109,NA,"unknown"
"dacarbazine","04","bottom",18205100.1176198,1397229.98630061,2,987990.79819035,NA,"unknown"
"dacarbazine","08","bottom",20603870.4768135,2072863.53232987,2,1465735.86018475,NA,"unknown"
"dacarbazine","11","bottom",13795006.2823288,16942.4937709499,2,11980.1522356495,NA,"unknown"
"dacarbazine","15","bottom",17042696.1015041,405970.071760304,2,287064.1907005,NA,"unknown"
"dacarbazine","18","bottom",9696076.29449217,583742.645330578,2,412768.382981026,NA,"unknown"
"dacarbazine","22","bottom",3064692.61188676,154566.124334991,2,109294.754658995,NA,"unknown"
"dacarbazine","25","bottom",9544785.20271642,172834.922293792,2,122212.74557979,NA,"unknown"
"dacarbazine","29","bottom",10286790.8345209,2594329.71003456,4,1297164.85501728,NA,"unknown"
"dacarbazine","29","middle",14436111.1146569,3496960.14047512,4,1748480.07023756,NA,"unknown"
"dacarbazine","29","top",11550226.1039317,666057.354741994,4,333028.677370997,NA,"unknown"
"daidzin","01","bottom",23515838.0988596,6649796.24556403,4,3324898.12278202,NA,"unknown"
"daidzin","01","middle",74627555.1503547,35498645.4590318,4,17749322.7295159,NA,"unknown"
"daidzin","01","top",38687473.4716827,2131435.16634436,4,1065717.58317218,NA,"unknown"
"daidzin","04","bottom",26056395.7306225,337126.437490505,2,238384.390066799,NA,"unknown"
"daidzin","08","bottom",22289121.9577737,1800131.95132927,2,1272885.5098155,NA,"unknown"
"daidzin","11","bottom",39523546.8898422,1324143.97329508,2,936311.182784252,NA,"unknown"
"daidzin","15","bottom",23489416.3023741,833620.848202612,2,589458.954702549,NA,"unknown"
"daidzin","18","bottom",19118456.7998407,1743988.1430573,2,1233185.84226475,NA,"unknown"
"daidzin","22","bottom",17315694.2934482,1296407.29466553,2,916698.3892377,NA,"unknown"
"daidzin","25","bottom",120470294.116421,7428958.96114259,2,5253067.2585805,NA,"unknown"
"daidzin","29","bottom",270341732.891131,225001448.483941,4,112500724.241971,NA,"unknown"
"daidzin","29","middle",28539581.5651641,22347701.1659794,6,9123410.79680836,NA,"unknown"
