"","peak_number","name","formula","calc_mw","m_z","std","n","se","01-bottom-half","01-middle-half","01-bottom-quarter","01-top-quarter","29-middle-half","01-middle-quarter","01-top-half","04-bottom-half","08-bottom-half","15-bottom-half","18-bottom-half","25-bottom-half","29-bottom-quarter","29-top-half","11-bottom-half","22-bottom-half","29-top-quarter","29-bottom-half","29-middle-quarter"
"80",14604,"8-Hydroxyquinoline","C9 H7 N O",145.05283,146.06011,36694.711806405,2,25947.079551995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,585084.248722023,NA,NA
"81",14606,"8-Hydroxyquinoline","C9 H7 N O",145.05283,146.06011,227642.404215717,2,160967.487706543,NA,NA,920222.012646248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",14606,"8-Hydroxyquinoline","C9 H7 N O",145.05283,146.06011,664.211259903203,2,469.668286018015,NA,714866.049306042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",14606,"8-Hydroxyquinoline","C9 H7 N O",145.05283,146.06011,85116.1793798719,2,60186.227628198,NA,NA,NA,NA,NA,618964.280384072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",14606,"8-Hydroxyquinoline","C9 H7 N O",145.05283,146.06011,19829.7305360191,2,14021.736931121,NA,NA,NA,NA,NA,NA,781548.167627606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",14606,"8-Hydroxyquinoline","C9 H7 N O",145.05283,146.06011,137288.922859966,2,97077.928336079,NA,NA,NA,888685.58619024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",14606,"8-Hydroxyquinoline","C9 H7 N O",145.05283,146.06011,8334.65486153381,2,5893.49097143998,NA,NA,NA,NA,NA,NA,NA,2120862.85697701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",14606,"8-Hydroxyquinoline","C9 H7 N O",145.05283,146.06011,98663.5993499552,2,69765.7001566259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,674456.379722332,NA,NA,NA,NA,NA,NA,NA
"88",14606,"8-Hydroxyquinoline","C9 H7 N O",145.05283,146.06011,108885.738967559,2,76993.8443984695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,492127.726479506,NA
"89",14606,"8-Hydroxyquinoline","C9 H7 N O",145.05283,146.06011,100767.20157477,2,71253.1715547115,NA,NA,NA,NA,722796.699955211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",14606,"8-Hydroxyquinoline","C9 H7 N O",145.05283,146.06011,147278.098536034,2,104141.34219509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2851412.06876429,NA,NA,NA,NA,NA
"91",14606,"8-Hydroxyquinoline","C9 H7 N O",145.05283,146.06011,96136.4852760229,2,67978.7606581165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,681457.758576378,NA,NA
